/work/gbadarac/MonoJet_NPLM/MonoJet_NPLM_analysis/Normalizing_Flows/EstimationNF_outputs/job_5e-5_lr_3_layers_3_transformations_50_neurons_10_bins_512_batch_size_433035
Epoch 0, Avg Train Loss: 3.8518, Avg Validation Loss: 2.8128
Epoch 1, Avg Train Loss: 2.6732, Avg Validation Loss: 2.5869
Epoch 2, Avg Train Loss: 2.5584, Avg Validation Loss: 2.5142
Epoch 3, Avg Train Loss: 2.4953, Avg Validation Loss: 2.4591
Epoch 4, Avg Train Loss: 2.4486, Avg Validation Loss: 2.4159
Epoch 5, Avg Train Loss: 2.4134, Avg Validation Loss: 2.3899
Epoch 6, Avg Train Loss: 2.3939, Avg Validation Loss: 2.3874
Epoch 7, Avg Train Loss: 2.3806, Avg Validation Loss: 2.3634
Epoch 8, Avg Train Loss: 2.3679, Avg Validation Loss: 2.3510
Epoch 9, Avg Train Loss: 2.3615, Avg Validation Loss: 2.3499
Epoch 10, Avg Train Loss: 2.3534, Avg Validation Loss: 2.3441
Epoch 11, Avg Train Loss: 2.3505, Avg Validation Loss: 2.3388
Epoch 12, Avg Train Loss: 2.3422, Avg Validation Loss: 2.3264
Epoch 13, Avg Train Loss: 2.3397, Avg Validation Loss: 2.3246
Epoch 14, Avg Train Loss: 2.3351, Avg Validation Loss: 2.3269
Epoch 15, Avg Train Loss: 2.3315, Avg Validation Loss: 2.3181
Epoch 16, Avg Train Loss: 2.3287, Avg Validation Loss: 2.3180
Epoch 17, Avg Train Loss: 2.3262, Avg Validation Loss: 2.3154
Epoch 18, Avg Train Loss: 2.3240, Avg Validation Loss: 2.3138
Epoch 19, Avg Train Loss: 2.3284, Avg Validation Loss: 2.3111
Epoch 20, Avg Train Loss: 2.3177, Avg Validation Loss: 2.3037
Epoch 21, Avg Train Loss: 2.3159, Avg Validation Loss: 2.3031
Epoch 22, Avg Train Loss: 2.3146, Avg Validation Loss: 2.2981
Epoch 23, Avg Train Loss: 2.3134, Avg Validation Loss: 2.3017
Epoch 24, Avg Train Loss: 2.3114, Avg Validation Loss: 2.2997
Epoch 25, Avg Train Loss: 2.3132, Avg Validation Loss: 2.3013
Epoch 26, Avg Train Loss: 2.3074, Avg Validation Loss: 2.3024
Epoch 27, Avg Train Loss: 2.3108, Avg Validation Loss: 2.2944
Epoch 28, Avg Train Loss: 2.3071, Avg Validation Loss: 2.2950
Epoch 29, Avg Train Loss: 2.3060, Avg Validation Loss: 2.2967
Epoch 30, Avg Train Loss: 2.3026, Avg Validation Loss: 2.2875
Epoch 31, Avg Train Loss: 2.3010, Avg Validation Loss: 2.2923
Epoch 32, Avg Train Loss: 2.3040, Avg Validation Loss: 2.2870
Epoch 33, Avg Train Loss: 2.3011, Avg Validation Loss: 2.2866
Epoch 34, Avg Train Loss: 2.2995, Avg Validation Loss: 2.2851
Epoch 35, Avg Train Loss: 2.2996, Avg Validation Loss: 2.2841
Epoch 36, Avg Train Loss: 2.2994, Avg Validation Loss: 2.2918
Epoch 37, Avg Train Loss: 2.2983, Avg Validation Loss: 2.2856
Epoch 38, Avg Train Loss: 2.2993, Avg Validation Loss: 2.2893
Epoch 39, Avg Train Loss: 2.3000, Avg Validation Loss: 2.2954
Epoch 40, Avg Train Loss: 2.2950, Avg Validation Loss: 2.2915
Epoch 41, Avg Train Loss: 2.2939, Avg Validation Loss: 2.2854
Epoch 42, Avg Train Loss: 2.2935, Avg Validation Loss: 2.2818
Epoch 43, Avg Train Loss: 2.2943, Avg Validation Loss: 2.2866
Epoch 44, Avg Train Loss: 2.2954, Avg Validation Loss: 2.2880
Epoch 45, Avg Train Loss: 2.2962, Avg Validation Loss: 2.2788
Epoch 46, Avg Train Loss: 2.2909, Avg Validation Loss: 2.2894
Epoch 47, Avg Train Loss: 2.2941, Avg Validation Loss: 2.2849
Epoch 48, Avg Train Loss: 2.2906, Avg Validation Loss: 2.2872
Epoch 49, Avg Train Loss: 2.2956, Avg Validation Loss: 2.2830
Epoch 50, Avg Train Loss: 2.2905, Avg Validation Loss: 2.2848
Epoch 51, Avg Train Loss: 2.2888, Avg Validation Loss: 2.2823
Epoch 52, Avg Train Loss: 2.2881, Avg Validation Loss: 2.2780
Epoch 53, Avg Train Loss: 2.2880, Avg Validation Loss: 2.2796
Epoch 54, Avg Train Loss: 2.2888, Avg Validation Loss: 2.2778
Epoch 55, Avg Train Loss: 2.2900, Avg Validation Loss: 2.2791
Epoch 56, Avg Train Loss: 2.2885, Avg Validation Loss: 2.2756
Epoch 57, Avg Train Loss: 2.2872, Avg Validation Loss: 2.2764
Epoch 58, Avg Train Loss: 2.2882, Avg Validation Loss: 2.2797
Epoch 59, Avg Train Loss: 2.2855, Avg Validation Loss: 2.2831
Epoch 60, Avg Train Loss: 2.2840, Avg Validation Loss: 2.2873
Epoch 61, Avg Train Loss: 2.2873, Avg Validation Loss: 2.2793
Epoch 62, Avg Train Loss: 2.2862, Avg Validation Loss: 2.2736
Epoch 63, Avg Train Loss: 2.2867, Avg Validation Loss: 2.2880
Epoch 64, Avg Train Loss: 2.2855, Avg Validation Loss: 2.2912
Epoch 65, Avg Train Loss: 2.2870, Avg Validation Loss: 2.2844
Epoch 66, Avg Train Loss: 2.2844, Avg Validation Loss: 2.2758
Epoch 67, Avg Train Loss: 2.2835, Avg Validation Loss: 2.2790
Epoch 68, Avg Train Loss: 2.2859, Avg Validation Loss: 2.2795
Epoch 69, Avg Train Loss: 2.2830, Avg Validation Loss: 2.2730
Epoch 70, Avg Train Loss: 2.2807, Avg Validation Loss: 2.2859
Epoch 71, Avg Train Loss: 2.2823, Avg Validation Loss: 2.2724
Epoch 72, Avg Train Loss: 2.2834, Avg Validation Loss: 2.2711
Epoch 73, Avg Train Loss: 2.2824, Avg Validation Loss: 2.2762
Epoch 74, Avg Train Loss: 2.2820, Avg Validation Loss: 2.2739
Epoch 75, Avg Train Loss: 2.2809, Avg Validation Loss: 2.2781
Epoch 76, Avg Train Loss: 2.2802, Avg Validation Loss: 2.2746
Epoch 77, Avg Train Loss: 2.2805, Avg Validation Loss: 2.2823
Epoch 78, Avg Train Loss: 2.2796, Avg Validation Loss: 2.2777
Epoch 79, Avg Train Loss: 2.2802, Avg Validation Loss: 2.2717
Epoch 80, Avg Train Loss: 2.2792, Avg Validation Loss: 2.2762
Epoch 81, Avg Train Loss: 2.2823, Avg Validation Loss: 2.2765
Early stopping triggered
Feature b-tagging score: min=-1.7300933599472046, max=1.731834053993225, valid=10000
Target feature (min, max, NaNs, Infs) before plot: nan, nan, 6342, 0
Trained feature (min, max, NaNs, Infs) before plot: nan, nan, 6265, 0
Feature log(energy scaled): min=nan, max=nan, valid=3658
